Name,Skills,Image,Company name,Duration,Github link,PRs,Vertical
E-commerce Reporting & Insights Tool,"Angular, GraphQL, MySQL, RESTful API, React Native, SpringBoot",Seshadri%20Sugavanam%2022da5b33c18d80a288fcdc6a31c9f83d/LDP%20Products%2022da5b33c18d81399bdcc4e3453b3d40/E-commerce%20Reporting%20&%20Insights%20Tool%2022da5b33c18d812285f7ecfb3ba25546/Open_SOurce_Apache_Superset.png,Zemoso Technologies,Dec 2023 - Feb 2024,,,E-CommerceTech
Internal Tooling Lowcode Platform with Micro-Frontend Architecture,"Java, React Native, SpringBoot, Typescript",,Zemoso Technologies,Mar 2024 - May 2024,https://github.com/appsmithorg/appsmith/,,Low Code Application
