Name,Skills,Image,Company name,Duration,Github link,PRs,Vertical
Shopify - Open Source eCommerce Tool,"Angular, GraphQL, MySQL, RESTful API, React Native, SpringBoot",Seshadri%20S%2020ea5b33c18d80c6a95bf19971e59571/LDP%20Products%2020ea5b33c18d812e9e12eb5f1c6b21bf/Shopify%20-%20Open%20Source%20eCommerce%20Tool%2020ea5b33c18d81dfbbffdf900d34e5e6/Open_SOurce_Apache_Superset.png,Zemoso Technologies,Dec 2023 - Present,,,E-CommerceTech
Appsmith - Opensource Internal Tool Builder,"Java, React Native, SpringBoot, Typescript",,Zemoso Technologies,,https://github.com/appsmithorg/appsmith/,,Low Code Application
