Name,Skills,Image,Company name,Duration,Vertical
Financial Statements Engine,"AWS, Ansible, AzureDevops, CSS, HTML, Java, MFA, MongoDB, Node, PostgreSQL, RESTful API, React Native, SSO, SpringBoot, Terraform",Seshadri%20S%2020ea5b33c18d80c6a95bf19971e59571/Products%2020ea5b33c18d81b1b87fd3ae8225bc6d/Financial%20Statements%20Engine%2020ea5b33c18d81b9aec1fb2305538e16/fslogo.png,Standard Chartered Global Business Services,Nov 2021 - Dec 2023,FinTech
Static Financial Data Synchronizer,"AWS, Angular, Ansible, CSS, HTML, Java, Jquery, OracleSQL, PostgreSQL, SSO, SpringBoot, Terraform",Seshadri%20S%2020ea5b33c18d80c6a95bf19971e59571/Products%2020ea5b33c18d81b1b87fd3ae8225bc6d/Financial%20Statements%20Engine%2020ea5b33c18d81b9aec1fb2305538e16/fslogo.png,Standard Chartered Global Business Services,Oct 2018 - Nov 2021,FinTech
Custom C Compiler,"C++, GNU Debugger, LLVM",Seshadri%20S%2020ea5b33c18d80c6a95bf19971e59571/Products%2020ea5b33c18d81b1b87fd3ae8225bc6d/Financial%20Statements%20Engine%2020ea5b33c18d81b9aec1fb2305538e16/fslogo.png,RR Logic Systems Pvt Ltd,Jan 2017 - May 2018,Core Computing
